#sec,nsec,x,y,z,qx,qy,qz,qw
1583840261,39995392,-0.415299,4.07653,0.625911,-0.0500348,-0.0153042,-0.679359,0.731938
1583840267,239448320,3.1814,0.472834,0.593847,-0.0206185,-0.0260156,-0.350193,0.936089
1583840272,839619840,8.07914,-0.866458,0.556637,-0.03131,-0.0446964,-0.373988,0.925827
1583840278,538413056,12.5035,-3.37622,0.523242,-0.0313403,-0.046432,-0.510588,0.857999
1583840283,939608320,15.9937,-7.00808,0.397473,-0.0545369,-0.0372003,-0.631816,0.772302
1583840289,537910016,18.5475,-11.3208,0.475479,-0.0473193,-0.0185837,-0.753085,0.655956
1583840294,837452544,20.0497,-16.1507,0.386255,-0.0451489,-0.0339346,-0.779138,0.624303
1583840299,937714432,21.1097,-21.0758,0.423336,-0.0585875,-0.0187095,-0.792129,0.607247
1583840304,938342400,21.5313,-26.0723,0.44355,-0.0376619,0.0143783,-0.841307,0.539052
1583840310,39396096,20.7895,-31.029,0.284436,0.0607426,0.000575737,0.914205,-0.400674
1583840321,837331200,18.6105,-35.6291,0.309098,0.04053,-0.0253485,0.976342,-0.21088
1583840327,638376448,14.9668,-39.0651,0.284729,0.0166839,-0.0321872,0.998989,-0.0265643
1583840333,39096064,10.3468,-41.1182,0.184932,0.0451027,-0.0227551,0.989402,0.136131
1583840338,937465600,5.31239,-40.7375,0.298862,0.0222363,-0.015434,0.918471,0.394561
1583840344,338319104,0.727175,-38.5154,0.302019,0.00661649,-0.0383741,0.834397,0.549787
1583840349,438621952,-2.96084,-35.0021,0.311487,0.0209441,-0.0452596,0.726337,0.685528
1583840354,338373632,-5.58528,-30.745,0.364995,0.0191861,-0.0451101,0.670586,0.740211
1583840359,338098176,-7.6629,-26.1095,0.400762,0.0312319,-0.0474201,0.610957,0.789625
1583840364,237831424,-9.01349,-21.2191,0.432432,0.0321461,-0.0647455,0.531146,0.844191
1583840369,137761792,-9.67431,-16.1669,0.456118,0.0343671,-0.0543681,0.483706,0.872864
1583840373,938645760,-8.86096,-11.1598,0.458233,0.0298622,-0.0614821,0.312557,0.947437
1583840378,937544448,-6.88593,-6.55384,0.527255,0.0251253,-0.0636284,0.229511,0.970899
1583840384,136391424,-3.45972,-2.90283,0.512864,0.0110713,-0.0552108,0.0399291,0.997615
1583840389,435392512,0.999288,-0.450799,0.538047,0.00324811,-0.045667,-0.142738,0.988701
1583840394,636034816,6.01057,-0.324909,0.567258,-0.00347481,-0.0483839,-0.373214,0.926476
1583840400,36679936,10.6898,-2.18421,0.553274,-0.0237279,-0.0225703,-0.562895,0.82588
1583840405,236971008,14.4503,-5.61141,0.449397,-0.0350279,-0.0278752,-0.651522,0.757307
1583840410,236916224,17.6795,-9.46711,0.47905,-0.0424884,-0.0142238,-0.755853,0.653206
1583840415,136673536,19.4303,-14.2069,0.379235,-0.0506017,-0.0185817,-0.817479,0.573431
1583840419,836455680,20.6501,-19.1115,0.388281,-0.031412,-0.00594625,-0.841111,0.539917
1583840424,635875328,21.2656,-24.1778,0.363369,0.0394579,0.00367819,0.883721,-0.466333
1583840429,335477760,20.9861,-29.2168,0.374488,0.0424647,-0.00447641,0.921784,-0.385345
1583840434,135571968,19.3756,-33.9757,0.334051,0.0421569,0.00466753,0.9753,-0.216773
1583840439,35764480,16.1763,-37.9258,0.274857,0.0465826,-0.00143,0.998591,-0.0253778
1583840443,935761920,11.7134,-40.2104,0.2164,0.0520514,0.00123407,0.994448,0.0914443
1583840449,236556288,6.72229,-40.936,0.262735,0.0558307,-0.0106207,0.898043,0.436221
1583840454,36222464,2.08157,-38.9823,0.275967,0.0593496,-0.0204681,0.824685,0.562097
1583840458,735444992,-1.98977,-35.8735,0.348744,0.0508218,-0.0244963,0.741567,0.668502
1583840463,434758144,-5.07358,-31.917,0.414948,0.033214,-0.0263455,0.692219,0.720441
1583840468,334895360,-7.53765,-27.4732,0.427733,0.0305268,-0.0241788,0.589051,0.807157
1583840473,235074816,-8.77089,-22.5171,0.415438,0.0323331,-0.0283739,0.534211,0.844256
1583840478,34745856,-9.3745,-17.5195,0.474494,0.0213741,-0.0304976,0.471071,0.881309
1583840482,734428928,-9.0135,-12.5079,0.493971,0.0158034,-0.0323757,0.364562,0.930482
1583840487,534158336,-7.48437,-7.74432,0.500241,0.0229527,-0.0394395,0.187816,0.981144
1583840492,233600256,-4.32839,-3.85225,0.537509,0.0275765,-0.0375438,0.0781145,0.995855
1583840497,133344256,-0.324397,-0.841453,0.583457,0.0289357,-0.0528986,-0.143821,0.987765
1583840501,933006592,4.67751,-0.248991,0.617343,0.014863,-0.0401308,-0.350136,0.935721
1583840506,732880384,9.47624,-1.71057,0.607516,0.00225889,-0.048446,-0.531428,0.845714
1583840511,332471296,13.4929,-4.69373,0.508408,-0.00989768,-0.0427114,-0.639837,0.767259
1583840516,132663040,16.8555,-8.47085,0.483653,-0.0128457,-0.0431962,-0.679653,0.732149
